<<<<<<< HEAD
,Skrill,Stripe,PayPal Pro,PayPal Payflow Link,PayPal Payflow Pro,Sage Pay Form,Sage Pay Direct,USAePay,WorldPay,Offline processing,Offline methods
Apache OFBiz,No,No,No,No,No,No,No,No,Yes,Yes,Yes
Batavi,No,No,No,No,No,No,No,No,No,Yes,Yes
Bigcommerce,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Drupal Commerce,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No
KonaKart,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes
Magento,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3rd party,Yes,Yes,Yes
nopCommerce,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3rd party,Yes,Yes,Yes
osCommerce,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes
pimcore,No,No,No,No,No,No,No,No,No,No,No
PrestaShop,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes
Shopify,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WooCommerce,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Zen Cart,Yes,Yes,Yes,No,add-on,No,Yes,Yes,Yes,add-on,Yes
,Skrill,Stripe,PayPal Pro,PayPal Payflow Link,PayPal Payflow Pro,Sage Pay Form,Sage Pay Direct,USAePay,WorldPay,Offline processing,Offline methods
=======
,Multiple store fronts,Affiliates,API (remote management functions),Minimum orders,Multiple vendor support,Out-of-the-box shopping cart
Apache OFBiz,Yes,Yes,Yes,Yes,No,Yes
Batavi,No,No,No,Yes,Yes,Yes
Bigcommerce,No,3rd party,Yes,Yes,Yes,Yes
Drupal Commerce,Yes,Yes,Yes,Yes,Yes,Yes
KonaKart,No,No,Yes,Yes,Yes,Yes
Magento,Yes,3rd party,Yes,Yes,Yes,Yes
nopCommerce,Yes,Yes,Yes,Yes,Yes,Yes
osCommerce,No,No,No,Yes,No,Yes
pimcore,Yes,Yes,Yes,Yes,Yes,No
PrestaShop,Yes,Yes,Yes,Yes,Yes,Yes
Shopify,No,Yes,Yes,Yes,Yes,Yes
SupaDupa,No,No,No,No,No,Yes
WooCommerce,No,Yes,Yes,No,Yes,No
Zen Cart,add-on,3rd party,No,add-on,No,Yes
,Multiple store fronts,Affiliates,API (remote management functions),Minimum orders,Multiple vendor support,Out-of-the-box shopping cart
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
