<<<<<<< HEAD
Model,Code Name,Release Date,Processors Supported,Fabrication process (nm),FSB/HT Frequency (MHz),Memory,PCI-Express,SLI,PCI,USB,PATA,SATA,LAN,Sound,Features,Notes
GeForce 9100M,"MCP77MH, MCP79MH",2008,"Core2 Mobile, Celeron Mobile",65nm,1066 MHz,DDR3-1066 dual channel,2.0 20 lanes,No,5 Ports,12 Ports Rev 2.0,No,4 Ports 3.0Gbit/s,1000 Mbit/s,HDA,Onboard GeForce 9100M,
GeForce 9400M,MCP79MX,2008,"Core2 Mobile, Celeron Mobile",65nm,1066 MHz,DDR3-1066 dual channel,2.0 20 lanes,x8+x8,5 Ports,12 Ports Rev 2.0,No,6 Ports 3.0Gbit/s,1000 Mbit/s,HDA,Onboard GeForce 9400M,
GeForce 9400M (ION),MCP7A-ION/MCP79MX,2009,Atom 2xx/3xx,65nm,667 MHz,DDR3-1066 dual channel,2.0 20 lanes,No,5 Ports,12 Ports Rev 2.0,No,6 Ports 3.0Gbit/s,1000 Mbit/s,HDA,Onboard GeForce 9400M,
GeForce 320M,MCP89,2010,Core2 Mobile,40nm,1066 MHz,DDR3-1066 dual channel,2.0,,,,No,6.0Gbit/s,1000 Mbit/s,HDA,Onboard GeForce 320M,Used in Apple MacBook Pro and MacBook Air models in 2010
=======
Model,Code Name,Release Date,CPU Socket,Processors Supported,Fab (nm),HyperTransport (MHz),PCI-Express,SLI,PCI,USB,PATA,SATA,LAN,Sound,Features,Notes
nForce 500,CK8-04,2006,Socket AM2,Athlon 64 Athlon 64 X2 Athlon 64 FX Opteron Sempron Phenom Phenom II,,1 GHz,1.0a 20 lanes,No,5 Ports,10 Ports Rev 2.0,2 Ports UDMA 133,4 Ports 1.5 Gbit/s,1000 Mbit/s,AC'97 2.3,,Rebranded nForce4
nForce 500 Ultra,CK8-04,2006,,,,,,No,,10 Ports Rev 2.0,2 Ports UDMA 133,4 Ports 3.0 Gbit/s,1000 Mbit/s,AC'97 2.3,,Rebranded nForce4 Ultra
nForce 500 SLI,CK8-04,2006,,,,,,x8+x8,,10 Ports Rev 2.0,2 Ports UDMA 133,4 Ports 3.0 Gbit/s,1000 Mbit/s,AC'97 2.3,,Rebranded nForce4 SLI
nForce 510,MCP51,2006,,,,,,No,,8 Ports Rev 2.0,1 Ports UDMA 133,2 Ports 3.0 Gbit/s,100 Mbit/s,HDA,,
nForce 520 LE,MPC61/MCP65,2007,,,90 nm / ?,,,No,,8 Ports Rev 2.0,1 Ports UDMA 133,2 Ports 3.0 Gbit/s,100 Mbit/s,HDA,,MPC61 is enhanced version of nForce 430 rev.2 with Disabled Onboard GeForce 6100
nForce 520,MCP65,2007,,,,,,No,,10 Ports Rev 2.0,1 Ports UDMA 133,4 Ports 3.0 Gbit/s,100 Mbit/s,HDA,,
nForce 550,MCP55,"March 7, 2006",,,,,,No,,10 Ports Rev 2.0,1 Ports UDMA 133,4 Ports 3.0 Gbit/s,1000 Mbit/s,HDA,,
nForce 560,MCP65,2007,,,,,,No,,10 Ports Rev 2.0,1 Ports UDMA 133,4 Ports 3.0 Gbit/s,1000 Mbit/s,HDA,,Same chipset as nForce 570 LT SLI but with some resistors removed thus disabling SLI
nForce 560 SLI,CK8-04,2007,,,,,,x8+x8,,10 Ports Rev 2.0,2 Ports UDMA 133,4 Ports 3.0 Gbit/s,1000 Mbit/s,AC'97 2.3,,Rebranded nForce4 SLI
nForce 570 LT SLI,MCP65,2007,,,,,,x8+x8,,10 Ports Rev 2.0,1 Ports UDMA 133,4 Ports 3.0 Gbit/s,1000 Mbit/s,HDA,,
nForce 570 Ultra,MCP55,"March 7, 2006",,,,,,No,,10 Ports Rev 2.0,1 Ports UDMA 133,6 Ports 3.0 Gbit/s,2× 1000 Mbit/s,HDA,,
nForce 570 SLI,MCP55,"March 7, 2006",,,,,1.0a 28 lanes,x8+x8,,10 Ports Rev 2.0,,,,HDA,,
nForce 590 SLI,Crush51 + MCP55,"March 7, 2006",,,,,1.0a 46 lanes,x16+x16,,10 Ports Rev 2.0,,,,HDA,,
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
