<<<<<<< HEAD
Model,Code Name,Release Date,Processors Supported,Fabrication process (nm),FSB/HT Frequency (MHz),Memory,PCI-Express,SLI,PCI,USB,PATA,SATA,LAN,Sound,Features,Notes
GeForce 9100M,"MCP77MH, MCP79MH",2008,"Core2 Mobile, Celeron Mobile",65nm,1066 MHz,DDR3-1066 dual channel,2.0 20 lanes,No,5 Ports,12 Ports Rev 2.0,No,4 Ports 3.0Gbit/s,1000 Mbit/s,HDA,Onboard GeForce 9100M,
GeForce 9400M,MCP79MX,2008,"Core2 Mobile, Celeron Mobile",65nm,1066 MHz,DDR3-1066 dual channel,2.0 20 lanes,x8+x8,5 Ports,12 Ports Rev 2.0,No,6 Ports 3.0Gbit/s,1000 Mbit/s,HDA,Onboard GeForce 9400M,
GeForce 9400M (ION),MCP7A-ION/MCP79MX,2009,Atom 2xx/3xx,65nm,667 MHz,DDR3-1066 dual channel,2.0 20 lanes,No,5 Ports,12 Ports Rev 2.0,No,6 Ports 3.0Gbit/s,1000 Mbit/s,HDA,Onboard GeForce 9400M,
GeForce 320M,MCP89,2010,Core2 Mobile,40nm,1066 MHz,DDR3-1066 dual channel,2.0,,,,No,6.0Gbit/s,1000 Mbit/s,HDA,Onboard GeForce 320M,Used in Apple MacBook Pro and MacBook Air models in 2010
=======
Model,Code Name,Release Date,CPU Socket,Processors Supported,Fab (nm),FSB/HT Frequency (MHz),Memory,PCI-Express,SLI,PCI,USB,PATA,SATA,LAN,Sound,Graphics
nForce 610i,MCP73,2007,LGA 775,"Pentium 4, Pentium EE, Pentium D, Celeron D, Core 2",,1333 MHz,DDR2-667 single channel,1.1 18 lanes,No,5 Ports,8 Ports Rev 2.0,2 Ports UDMA 133,4 Ports 3.0Gbit/s,100 Mbit/s,HDA,GeForce 7050
nForce 630i,MCP73,2007,,,,1333 MHz,DDR2-800 single channel,1.1 18 lanes,No,5 Ports,10 Ports Rev 2.0,2 Ports UDMA 133,4 Ports 3.0Gbit/s,1000 Mbit/s,HDA,GeForce 7100/7150
nForce 650i Ultra,Crush55 + MCP51,2006,,,,1333 MHz,DDR2-800 dual channel,1.1 18 lanes,No,5 Ports,8 Ports Rev 2.0,4 Ports UDMA 133,4 Ports 3.0Gbit/s,1000 Mbit/s,HDA,none
nForce 650i SLI,Crush55 + MCP51,2006,,,,1333 MHz,DDR2-800 dual channel,1.1 18 lanes,x8+x8,5 Ports,8 Ports Rev 2.0,4 Ports UDMA 133,4 Ports 3.0Gbit/s,1000 Mbit/s,HDA,none
nForce 680i LT SLI,Crush55 + MCP55,"March 26, 2007",,,,1333 MHz,DDR2-800 dual channel,1.1 46 lanes,x16+x16,5 Ports,10 Ports Rev 2.0,2 Ports UDMA 133,6 Ports 3.0Gbit/s,2*1000 Mbit/s,HDA,none
nForce 680i SLI,Crush55 + MCP55,"November 8, 2006",,,,1333 MHz,DDR2-800 dual channel,1.1 46 lanes,x16+x16 x8+x8+x8,5 Ports,10 Ports Rev 2.0,2 Ports UDMA 133,6 Ports 3.0Gbit/s,2*1000 Mbit/s,HDA,none
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
