<<<<<<< HEAD
English,Malaysian,Indonesian
ugly,"zsmhodoh, teruk, buruk","idjelek, buruk"
Ukraine,zsmUkraine,idUkraina
uncle,zsmpakcik,"idpaman, idoom, om (derived from Dutch, pronounced and sometimes spelt idoom)"
union,zsmkesatuan (in Indonesian means "unitary"),"idpersatuan, iduni, idserikat"
United Arab Emirates,zsmEmiriah Arab Bersatu,idUni Emirat Arab
United Kingdom,zsmUnited Kingdom,idBritania Raya
United Nations,zsmPertubuhan Bangsa-Bangsa Bersatu,idPerserikatan Bangsa-Bangsa
United States of America (USA) United States (US),zsmAmerika Syarikat,idAmerika Serikat (AS)
university,zsmuniversiti,iduniversitas
until,"zsmsehingga (means 'thus' in Indonesian), zsmsampai","idhingga, idsampai"
=======
English,Standard Malay,Indonesian
account,zsmakaun,idakun
accountability,zsmakauntabliti,idakuntabilitas
accountant,zsmakauntan,idakuntan
amateur,zsmamatur,idamatir
architect,zsmarkitek,idarsitek
armed forces,zsmtentera,idtentara
auction,zsmlelong,idlelang
autonomy,zsmautonomi,idotonomi
balcony,zsmbalkoni,idbalkon
bell,zsmloceng,idlonceng
because (grammatical conjunction),zsmkerana,idkarena
biome,zsmbiom,idbioma
bridge,zsmjambatan,idjembatan
"broken, damaged",zsmrosak,idrusak
business,zsmbisnes,idbisnis
bus,zsmbas,idbus
cancer (diseases),zsmkanser,idkanker
case (legal),zsmkes,idkasus
cement,zsmsimen,idsemen
civil,zsmsivil,idsipil
community,zsmkomuniti,idkomunitas
concert,zsmkonsert,idkonser
counter,zsmkaunter,idkonter
December,zsmDisember,idDesember
dialect,zsmloghat,idlogat
different,zsmbeza,idbeda
doctor (medical practitioner),zsmdoktor,iddokter
eight,zsmlapan,iddelapan
Europe,zsmEropah,idEropa
export,zsmeksport,idekspor
faculty,zsmfakulti,idfakultas
finance,zsmkewangan,idkeuangan
garage,zsmgaraj,idgarasi
dialect,zsmloghat,idlogat
gonorrhea,zsmgonorea,idgonore
immigration,zsmimigresen,idimigrasi
mathematics,zsmmatematik,idmatematika
magistrate,zsmmajistret,idmagistrat
meaning,zsmerti,idarti
medication,zsmubat,idobat
minute,zsmminit,idmenit
money,zsmwang,iduang
music,zsmmuzik,idmusik
"namely, e.g.",zsmiaitu,idyaitu
news,zsmkhabar,idkabar
newspaper,zsmsurat khabar,idsurat kabar
number,zsmnombor,idnomor
official (adj.),zsmrasmi,idresmi
official position,zsmjawatan,idjabatan
parliament,zsmparlimen,idparlemen
party (political),zsmparti,idpartai
passport,zsmpasport,idpaspor
phase,zsmfasa,idfase
physics,zsmfizik,idfisika
popular,zsmpopular,idpopuler
prototype,zsmprototaip,idprototipe
sauce,zsmsos,idsaus
sausage,zsmsosej,idsosis
scenario,zsmsenario,idskenario
scheme,zsmskim,idskema
secret,zsmrahsia,idrahasia
snow,zsmsalji,idsalju
sputum,zsmkahak,iddahak
station,zsmstesen,idstasiun
taxi,zsmteksi,idtaksi
tempo,zsmtempoh,idtempo
thin,zsmnipis,idtipis
Thursday,zsmKhamis,idKamis
"truck, lorry",zsmtrak,idtruk
university,zsmuniversiti,iduniversitas
want,zsmmahu,idmau
zone,zsmzon,idzona
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
